Are you currently a student at Duke University?,"The following questions are about your age, race, gender, difficulty doing some activities, and experience as a
student at Duke University. 

How old are you?",What racial/ethnic groups do you most closely identify with? (Select all that apply) - Selected Choice,What racial/ethnic groups do you most closely identify with? (Select all that apply) - Other: - Text,Have you ever had a menstrual period?,"Which gender identity do you most identify with? 

(""cis"" or cisgender refers to identifying as the gender assigned at birth, while ""trans"" or transgender refers to identifying as a gender different than the one assigned at birth) - Selected Choice",What is your biological sex?,What type of student are you?,What type of housing do you live in?,What type of student are you?,Where did you learn about periods growing up? (Select all that apply) - Selected Choice,Where did you learn about periods growing up? (Select all that apply) - Other: - Text,"The following are questions about menstruation.

Where do you think the bleeding from menstruation originates? (Select one)",Did you have school-based menstrual education?,How well-informed did you feel in regard to menstruation after your school-based menstrual education?,What words would you use to describe periods generally?,How comfortable are you with discussing your own or others' periods?,Do you agree or disagree with the following statements? - People should feel comfortable having sex on their period.,Do you agree or disagree with the following statements? - Menstrual blood is dirty.,Do you agree or disagree with the following statements? - Menarche (a person's very first period) is reason for celebration.,"Do you agree or disagree with the following statements? - While on menstruation, one should refrain from some religious activities.","Do you agree or disagree with the following statements? - Code words should be used to describe periods (""Aunt Flow""; ""time of the month"").",Do you agree or disagree with the following statements? - People can become more irritable and depressed due to period-related needs.,Do you agree or disagree with the following statements? - Menstruation is a normal and healthy part of life.,Do you agree or disagree with the following statements? - It is normal to have really painful periods.,Do you agree or disagree with the following statements? - Menstruation is a symbol of feminine beauty.,"Do you agree or disagree with the following statements? - Menstrual products should be hidden since they are private, hygiene products.",Do you agree or disagree with the following statements? - Menstrual cramps are often exaggerated.,Do you agree or disagree with the following statements? - Menstrual leave/absence (being able to take time off work or school due to menstruation) should be available.,"Do you agree or disagree with the following statements? - The use of insert-type menstrual products (i.e., tampons, menstrual cups) may cause a loss of virginity.",Do you agree or disagree with the following statements? - Reusable (cloth) menstrual pads are unsanitary.,Do you agree or disagree with the following statements? - All menstrual products are expensive.,"The following questions are about your direct experiences with period products.

Have you ever provided or purchased a period product for someone else?",Have you ever not been able to afford menstrual products (such as pads or tampons)?,"In the last 12 months, how often have you not been able to afford menstrual products?",Do you think people avoid changing menstrual products while on campus?,What are some reasons you think people don't change their menstrual product on campus? (Select all that apply).,"Do you think people have ever missed, had to leave, or arrived late for class because of menstrual-related reasons? (Select all that apply).",Where do you think people purchase or access menstrual products? - Selected Choice,Where do you think people purchase or access menstrual products? - Other: - Text,"If the university were to distribute menstrual hygiene products, where do you suggest we distribute them? (Select all that apply) - Selected Choice","If the university were to distribute menstrual hygiene products, where do you suggest we distribute them? (Select all that apply) - Other: - Text"
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 2nd year,3,Out-of-state student,"Family,Doctor or other health care provider,School/Teacher",,Uterus,Yes,Sufficiently informed,"Pain, stress, blood",Moderately comfortable,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,"Yes, a family member",No,,3,8,6,,,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,21,White,,Yes,Cis-Woman,Female,Undergraduate - 3rd year,3,Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Sufficiently informed,"bloody, painful",Moderately comfortable,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,"Yes, friend,Yes, a family member",No,Never,Yes,"Not having another menstrual product available,Not having enough time.,Other:",No,,,"Student bathrooms,Dorms",
Yes,19,White,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,3,Out-of-state student,"Family,Friends,School/Teacher,Internet/Websites/Search Engines,TV",,Uterus,No,Insufficiently informed,"Exhausting, low-energy, uncomfortable",Very comfortable,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,"Yes, friend,Yes, a family member",No,Never,Yes,"Not having another menstrual product available,Not having enough time.,9",Yes,,,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,19,South Asian,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,3,Out-of-state student,"Family,Friends,Social media (e.g. Instagram, Facebook)",,Vagina,No,Insufficiently informed,"Natural, painful, unpredictable. ",Moderately comfortable,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,"Yes, friend",No,Never,Yes,Not having another menstrual product available,4,,,Student bathrooms,
Yes,20,"Indian,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,3,Out-of-state student,"Family,Friends,School/Teacher,Social media (e.g. Instagram, Facebook),TV,Magazines or books",,Uterus,Yes,Adequately informed,"Blood, cramps, women, hurt",Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"No, never before",No,Never,Yes,"Not having enough time.,7",4,,,"Wellness Center,Student bathrooms",
Yes,19,White,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,3,In-state student,"Family,School/Teacher,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Adequately informed,"Monthly, irregular, uncomfortable, normal",Very comfortable,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,"Yes, friend,Yes, a family member",,Never,No,8,4,,,"Student bathrooms,Dorms,Campus convenience store",
Yes,19,"African American,American Indian or Alaska Native",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,3,Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Adequately informed,Unfortunate,Very comfortable,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,"Yes, friend,Yes, a family member",No,Never,No,Other:,4,,,"Wellness Center,Dorms,Campus convenience store",
Yes,20,African American,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,3,Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),TV,Magazines or books",,Uterus,Yes,Sufficiently informed,Painful,Very comfortable,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,,,,,,,,,
Yes,19,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),International student,"Family,School/Teacher",,Uterus,Yes,Sufficiently informed,"hormone cycles, natural",Moderately comfortable,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,"Yes, a family member",No,,Yes,"Worrying that someone might hear or see,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms",
Yes,21,"Hispanic or Latino,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),International student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines",,Uterus,Yes,Sufficiently informed,"Painful, weird",Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,"Yes, friend,Yes, a family member",No,Rarely,No,"Worrying that someone might hear or see,Not having another menstrual product available",Yes,"Student bathrooms,Campus convenience store",,Student bathrooms,
Yes,20,Indian,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,No,,Natural,Moderately comfortable,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,"No, never before",,,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store,Other:",Lecture halls
Yes,19,White,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends",,Uterus,No,,"Blood, shedding, babies",Very comfortable,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,"Yes, friend,Yes, a family member",No,Never,No,"Worrying that someone might hear or see,Not having another menstrual product available",Yes,"Student bathrooms,Campus convenience store",,Student bathrooms,
Yes,19,Hispanic or Latino,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Insufficiently informed,"Painful, unpleasant",Very comfortable,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,Never,No,"Not having another menstrual product available,Not having enough time.",Yes,"University Bookstore,Student bathrooms,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,20,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Internet/Websites/Search Engines,TV",,Uterus,No,,,Moderately comfortable,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,"Yes, a family member",No,,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.",I don't know,"Wellness Center,Student bathrooms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",
,19,"Middle Eastern,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),In-state student,Friends,,Uterus,No,,"Painful, annoying, natural ",Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,"Yes, friend",No,Never,No,Not having enough time.,Yes,"University Bookstore,Wellness Center",,Student bathrooms,
Yes,19,Indian,,Yes,Cis-Woman,Female,Undergraduate - 3rd year,On-campus Housing (University Owned),In-state student,"Family,Friends,Doctor or other health care provider",,Uterus,No,,"period, cycle ",Very comfortable,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,Always,No,The toilet facilities are not sanitary.,Yes,Campus convenience store,,Student bathrooms,
Yes,20,White,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Adequately informed,"Horrific, annoying, painful, pain in my ass",Very comfortable,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree,"Yes, a family member",Yes,Rarely,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.",Yes,Other:,CVS/Amazon,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,18,White,,Yes,Cis-Woman,Female,Undergraduate - 1st year,On-campus Housing (University Owned),Out-of-state student,"Friends,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),Magazines or books",,Uterus,Yes,Adequately informed,"disruptive, manageable, tiring",Moderately comfortable,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"Yes, friend",No,Never,Yes,"Not having another menstrual product available,Not having enough time.",Yes,"Student bathrooms,Campus convenience store,Other:","Online stores (Amazon), stores in Durham (Harris Tetters, Whole Foods, etc.)","Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,22,White,,No,Cis-Man,Male,Undergraduate - 4th year,On-campus Housing (University Owned),Out-of-state student,"Family,School/Teacher,TV,Magazines or books",,Uterus,Yes,Sufficiently informed,,Very comfortable,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,,Yes,"Worrying that someone might hear or see,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms",
Yes,19,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher",,Uterus,No,,"Period, menstruation, bloody, painful, mood altering",Moderately uncomfortable,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,"No, never before",No,,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"Student bathrooms,Campus convenience store,Other:",Drug store,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,,"East Asian,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher,Magazines or books",,Uterus,Yes,Adequately informed,"Painful, necessary, healthy",Very comfortable,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,Never,Yes,"Not having another menstrual product available,Not having enough time.",Yes,"Dorms,Campus convenience store",,"Student bathrooms,Dorms,Campus convenience store",
